instruct.started,instruct.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,practice.started,practice.stopped,practicetrialskeys.keys,practicetrialskeys.rt,practicetrialskeys.duration,practicetrialss.thisRepN,practicetrialss.thisTrialN,practicetrialss.thisN,practicetrialss.thisIndex,practicetrialss.ran,text,letterColor,corrAns,congruent,RUready.started,RUready.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.started,trials.stopped,key_resp_trials.keys,key_resp_trials.corr,key_resp_trials.rt,key_resp_trials.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,thanks.started,thanks.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.000199997,21.498,y,20.4795,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,21.5213,24.2644,y,2.301399994,,0,0,0,0,1,yellow,yellow,y,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,24.2665,26.4308,b,1.721599998,,0,1,1,1,1,green,blue,b,no,,,,,,,,,,,,,,,,,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,26.4317,28.2143,g,1.351100006,,0,2,2,2,1,green,green,g,yes,,,,,,,,,,,,,,,,,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,28.2159,30.0971,g,1.443699997,,0,3,3,3,1,red,green,g,no,,,,,,,,,,,,,,,,,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,30.0984,31.7801,y,1.249800003,,0,4,4,4,1,blue,yellow,y,no,,,,,,,,,,,,,,,,,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,31.7805,35.1481,y,2.249400002,,,,,,,,,,,,,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,red,red,r,yes,,,,,,35.1647,36.9648,r,1,1.411199997,,0,0,0,0,1,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,blue,blue,b,yes,,,,,,36.9662,38.5802,b,1,1.2175,,0,1,1,1,1,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,yellow,green,g,no,,,,,,38.5818,40.2303,g,1,1.252399994,,0,2,2,2,1,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,blue,green,g,no,,,,,,40.2317,42.9647,g,1,2.344800003,,0,3,3,3,1,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,green,green,g,yes,,,,,,42.9659,44.2148,g,1,0.851300003,,0,4,4,4,1,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,blue,red,r,no,,,,,,44.2165,45.9479,r,1,1.344200005,,0,5,5,5,1,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,yellow,green,g,no,,,,,,45.9488,47.615,g,1,1.267400002,,0,6,6,6,1,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,blue,green,g,no,,,,,,47.6163,48.9151,g,1,0.902699997,,0,7,7,7,1,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,green,green,g,yes,,,,,,48.9161,51.1152,g,1,1.810899994,,0,8,8,8,1,,,,,
,,,,,A04PRESH,001,2024-10-18_16h29.17.520,strooptdcs,2024.2.1,MacIntel,60.24096386,,,,,,,,,,,yellow,yellow,y,yes,,,,,,51.1162,52.7149,y,1,1.212400002,,0,9,9,9,1,,,,,
