instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000300003,11.5294,space,11.5073,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,11.5297,13.4629,k,1.909400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,13.4839,193.5184,l,100.008,,0,0,0,0,1,texto2.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,193.519,196.8861,j,3.3485,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,196.8862,200.3361,y,3.423400002,,,,,,,,,,,,,,,,,,,,,,
,,,,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.3457,221.5527,3,0,16.17739999,,0,0,0,0,1,1) ¿Cuánto tiempo ha vivido Juli en España?,1. Dos años,2. Trece años,3. Tres años,2,,,,,
,,,,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.5552,229.8369,1,1,3.267099998,,0,1,1,1,0,2) ¿En dónde vivían inicialmente Juli y su familia?,1. Caravanas,2. Hostales,3. Hoteles,1,,,,,
,,,,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.8397,238.4372,2,1,3.553300003,,0,2,2,2,1,3) ¿De qué trabajan Juli y su esposo?,1. Rescatistas de montaña,2. Instructores de esquí,3. Guías turísticos de montaña,2,,,,,
,,,,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.4394,246.6208,1,1,3.149300003,,0,3,3,3,1,4) ¿Cómo describe Juli el esquí?,1. Una forma de meditación,2. Solo un poco más difícil que caminar,3. Como volar,1,,,,,
,,,,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.623,256.9213,1,1,5.253800003,,0,4,4,4,0,5) ¿Qué pasatiempo tiene Juli?,1. Tejer,2. Dibujar,3. Bordar,1,,,,,
,,,,,A07POSTSH,2024-11-15_11h38.47.543,listening2_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.9218,259.9215,space,1.478599998,
