instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000300003,11.4906,space,11.4782,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,11.491,12.5906,k,1.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,12.6091,192.496,l,99.8695,,0,0,0,0,1,texto2.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,192.4966,194.2798,j,1.755299995,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,194.28,197.5301,y,3.218,,,,,,,,,,,,,,,,,,,,,,
,,,,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.5449,204.381,3,0,1.817199997,,0,0,0,0,1,1) ¿Cuánto tiempo ha vivido Juli en España?,1. Dos años,2. Trece años,3. Tres años,2,,,,,
,,,,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.3838,214.5304,2,0,5.1055,,0,1,1,1,1,2) ¿En dónde vivían inicialmente Juli y su familia?,1. Caravanas,2. Hostales,3. Hoteles,1,,,,,
,,,,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.5329,225.7807,3,0,6.205300003,,0,2,2,2,1,3) ¿De qué trabajan Juli y su esposo?,1. Rescatistas de montaña,2. Instructores de esquí,3. Guías turísticos de montaña,2,,,,,
,,,,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.7838,236.5311,1,1,5.715900002,,0,3,3,3,1,4) ¿Cómo describe Juli el esquí?,1. Una forma de meditación,2. Solo un poco más difícil que caminar,3. Como volar,1,,,,,
,,,,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.5334,246.1813,3,0,4.605799995,,0,4,4,4,1,5) ¿Qué pasatiempo tiene Juli?,1. Tejer,2. Dibujar,3. Bordar,1,,,,,
,,,,,B03POSTSH,2024-10-30_18h50.43.927,listening2_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.1818,247.9985,space,0.2835,
