"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"survey-html-form-autofocus","74","198634","0.0-41.0-24.0-9.0","SO1PRESH","PRE","","6379.699996948242","{""recall"":""820""}","recall","","","71653820","820","820","","true"
"html-keyboard-response","75","200098","0.0-41.0-24.0-10.0","SO1PRESH","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","76","201887","0.0-41.0-24.0-11.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","1",""
"html-keyboard-response","77","203676","0.0-41.0-24.0-12.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","8",""
"html-keyboard-response","78","205465","0.0-41.0-24.0-13.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","3",""
"html-keyboard-response","79","207254","0.0-41.0-24.0-14.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","1",""
"html-keyboard-response","80","209043","0.0-41.0-24.0-15.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","9",""
"html-keyboard-response","81","210832","0.0-41.0-24.0-16.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","5",""
"html-keyboard-response","82","212620","0.0-41.0-24.0-17.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","7",""
"html-keyboard-response","83","214408","0.0-41.0-24.0-18.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","0",""
"html-keyboard-response","84","216197","0.0-41.0-24.0-19.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","1",""
"html-keyboard-response","85","217986","0.0-41.0-24.0-20.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","8",""
"html-keyboard-response","86","219775","0.0-41.0-24.0-21.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","4",""
"html-keyboard-response","87","221564","0.0-41.0-24.0-22.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","9",""
"html-keyboard-response","88","223352","0.0-41.0-24.0-23.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","1,8,3,1,9,5,7,0,1,8,4,9,6","","","6",""
"survey-html-form-autofocus","89","227766","0.0-41.0-24.0-24.0","SO1PRESH","PRE","","3749.400001525879","{""recall"":""396""}","recall","","","1831957018496","396","496","","false"
"html-keyboard-response","90","229229","0.0-41.0-24.0-25.0-0.0","SO1PRESH","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","91","231017","0.0-41.0-24.0-25.0-1.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","8,7,4,6,0,5,9,4","","","8",""
"html-keyboard-response","92","232806","0.0-41.0-24.0-25.0-2.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","8,7,4,6,0,5,9,4","","","7",""
"html-keyboard-response","93","234594","0.0-41.0-24.0-25.0-3.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","8,7,4,6,0,5,9,4","","","4",""
"html-keyboard-response","94","236382","0.0-41.0-24.0-25.0-4.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","8,7,4,6,0,5,9,4","","","6",""
"html-keyboard-response","95","238171","0.0-41.0-24.0-25.0-5.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","8,7,4,6,0,5,9,4","","","0",""
"html-keyboard-response","96","239960","0.0-41.0-24.0-25.0-6.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","8,7,4,6,0,5,9,4","","","5",""
"html-keyboard-response","97","241749","0.0-41.0-24.0-25.0-7.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","8,7,4,6,0,5,9,4","","","9",""
"html-keyboard-response","98","243538","0.0-41.0-24.0-25.0-8.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","8,7,4,6,0,5,9,4","","","4",""
"survey-html-form-autofocus","99","249767","0.0-41.0-24.0-25.0-9.0","SO1PRESH","PRE","","5564.699996948242","{""recall"":""9430""}","recall","","","87460594","9430","0594","","false"
"html-keyboard-response","100","251231","0.0-41.0-24.0-25.0-10.0","SO1PRESH","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","101","253021","0.0-41.0-24.0-25.0-11.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","6,3,1,7","","","6",""
"html-keyboard-response","102","254809","0.0-41.0-24.0-25.0-12.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","6,3,1,7","","","3",""
"html-keyboard-response","103","256598","0.0-41.0-24.0-25.0-13.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","6,3,1,7","","","1",""
"html-keyboard-response","104","258388","0.0-41.0-24.0-25.0-14.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","6,3,1,7","","","7",""
"survey-html-form-autofocus","105","264453","0.0-41.0-24.0-25.0-15.0","SO1PRESH","PRE","","5401.200004577637","{""recall"":""6317""}","recall","","","6317","6317","6317","","true"
"html-keyboard-response","106","265918","0.0-41.0-24.0-25.0-16.0-0.0","SO1PRESH","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","107","267708","0.0-41.0-24.0-25.0-16.0-1.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","3,1,8,7,9,4,6,0,4,9,8,4","","","3",""
"html-keyboard-response","108","269497","0.0-41.0-24.0-25.0-16.0-2.0","SO1PRESH","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","3,1,8,7,9,4,6,0,4,9,8,4","","","1",""
