instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000199997,3.423299995,space,3.402700005,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,3.423799995,4.822799995,k,1.372599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,,,,,,4.842399994,93.3922,l,8.542599998,,0,0,0,0,1,texto1.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,93.3925,97.25939999,j,3.847199997,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,97.2596,99.04289999,y,1.755400002,,,,,,,,,,,,,,,,,,,,,,
,,,,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0572,109.3767,3,0,5.300199997,,0,0,0,0,1,1) ¿Con qué sorprendió Bea al hombre?,1. Su llegada,2. Su ida,3. Su pareja,1,,,,,
,,,,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.3791,117.2101,3,0,2.800400002,,0,1,1,1,1,2) ¿Dónde deciden tomar algo?,1. En un bar,2. En un restaurante,3. En un café,1,,,,,
,,,,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.2125,126.6432,3,0,4.3995,,0,2,2,2,1,3) ¿Cuál es la noticia sobre Ana?,1. Hará una fiesta,2. Se casará,3. Tiene un novio en México,2,,,,,
,,,,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.6461,136.2106,2,0,4.533099998,,0,3,3,3,1,4) ¿Hace cuánto que sale Ana con su novio?,1. Seis meses,2. Un año y medio,3. Doce meses,3,,,,,
,,,,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.2128,150.2766,1,0,9.020800003,,0,4,4,4,1,5) ¿Qué hace que el hombre no pueda ir a la boda?,1. Motivos financieros y psicológicos,2. Motivos psicológicos y románticos,3. Motiivos románticos y financieros,1,,,,,
,,,,,A06POSTSH,2024-10-28_18h17.20.087,listening1_tdcs_post,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.277,152.027,space,0.2335,
