instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000199997,2.237,space,2.2265,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,2.237299995,3.936799995,k,1.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,3.959599998,94.2229,l,10.2347,,0,0,0,0,1,texto1.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,94.2238,97.8899,j,3.639800003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,97.8901,101.3063,y,3.398200005,,,,,,,,,,,,,,,,,,,,,,
,,,,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3151,110.5392,1,1,4.188900002,,0,0,0,0,1,1) ¿Con qué sorprendió Bea al hombre?,1. Su llegada,2. Su ida,3. Su pareja,1,,,,,
,,,,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5417,117.757,1,1,2.188599998,,0,1,1,1,1,2) ¿Dónde deciden tomar algo?,1. En un bar,2. En un restaurante,3. En un café,1,,,,,
,,,,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.7598,127.3406,2,0,4.538199997,,0,2,2,2,1,3) ¿Cuál es la noticia sobre Ana?,1. Hará una fiesta,2. Se casará,3. Tiene un novio en México,2,,,,,
,,,,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.3439,135.4074,3,0,3.026700005,,0,3,3,3,1,4) ¿Hace cuánto que sale Ana con su novio?,1. Seis meses,2. Un año y medio,3. Doce meses,3,,,,,
,,,,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.4099,148.3402,1,0,7.888899994,,0,4,4,4,1,5) ¿Qué hace que el hombre no pueda ir a la boda?,1. Motivos financieros y psicológicos,2. Motivos psicológicos y románticos,3. Motiivos románticos y financieros,1,,,,,
,,,,,B02POSTSH,2024-10-27_15h17.25.468,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.3406,150.874,space,1.017100006,
