instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000200005,3.272700005,space,3.251,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,3.273,5.155700005,k,1.863300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,5.178,92.2586,l,7.051300003,,0,0,0,0,1,texto1.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,92.2593,93.841,j,1.555600006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,93.841,96.625,y,2.765100006,,,,,,,,,,,,,,,,,,,,,,
,,,,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.634,111.8257,3,1,10.1652,,0,0,0,0,1,1) ¿Con qué sorprendió Bea al hombre?,1. Su llegada,2. Su ida,3. Su pareja,1,,,,,
,,,,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8275,118.9257,3,1,2.066400002,,0,1,1,1,1,2) ¿Dónde deciden tomar algo?,1. En un bar,2. En un restaurante,3. En un café,1,,,,,
,,,,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9278,125.9259,3,1,1.964699997,,0,2,2,2,1,3) ¿Cuál es la noticia sobre Ana?,1. Hará una fiesta,2. Se casará,3. Tiene un novio en México,2,,,,,
,,,,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.9281,133.742,2,1,2.770799995,,0,3,3,3,1,4) ¿Hace cuánto que sale Ana con su novio?,1. Seis meses,2. Un año y medio,3. Doce meses,3,,,,,
,,,,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.7444,146.2599,1,1,7.471900002,,0,4,4,4,1,5) ¿Qué hace que el hombre no pueda ir a la boda?,1. Motivos financieros y psicológicos,2. Motivos psicológicos y románticos,3. Motiivos románticos y financieros,1,,,,,
,,,,,B08POSTTR,2024-12-02_12h44.31.762,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.2603,147.9436,space,0.149400002,
