instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000199997,4.413599998,space,4.401800003,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,4.413800003,5.579,k,1.136700005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,5.600300003,92.3983,l,6.768,,0,0,0,0,1,texto1.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,92.3994,94.3493,j,1.922700005,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,94.3494,98.2992,y,3.9325,,,,,,,,,,,,,,,,,,,,,,
,,,,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3147,105.4334,1,1,2.099900002,,0,0,0,0,1,1) ¿Con qué sorprendió Bea al hombre?,1. Su llegada,2. Su ida,3. Su pareja,1,,,,,
,,,,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.4356,114.982,1,1,4.504100006,,0,1,1,1,1,2) ¿Dónde deciden tomar algo?,1. En un bar,2. En un restaurante,3. En un café,1,,,,,
,,,,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.9844,121.8157,2,1,1.809900002,,0,2,2,2,1,3) ¿Cuál es la noticia sobre Ana?,1. Hará una fiesta,2. Se casará,3. Tiene un novio en México,2,,,,,
,,,,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.8182,130.2,2,0,3.360799995,,0,3,3,3,1,4) ¿Hace cuánto que sale Ana con su novio?,1. Seis meses,2. Un año y medio,3. Doce meses,3,,,,,
,,,,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.2024,142.2006,1,1,6.967300003,,0,4,4,4,1,5) ¿Qué hace que el hombre no pueda ir a la boda?,1. Motivos financieros y psicológicos,2. Motivos psicológicos y románticos,3. Motiivos románticos y financieros,1,,,,,
,,,,,s02POSTTR,2025-02-24_10h44.49.624,listening1_tdcs_post,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2009,146.7342,space,3.011199997,
